Date,Description,Amount
2024-10-01,Starbucks Coffee Downtown,6.75
2024-10-02,Walmart Groceries,124.50
2024-10-03,Shell Gas Station,45.00
2024-10-05,Amazon Prime Subscription,14.99
2024-10-07,McDonald's Drive-Thru,12.35
2024-10-08,CVS Pharmacy,28.99
2024-10-10,Netflix Monthly,15.99
2024-10-12,Whole Foods Market,87.63
2024-10-15,Uber Ride to Airport,35.50
2024-10-16,Delta Airlines,345.00
2024-10-17,Marriott Hotel,189.00
2024-10-20,Target Shopping,67.89
2024-10-22,Trader Joe's,54.32
2024-10-23,Coffee Bean & Tea Leaf,8.50
2024-10-25,Chevron Gas,42.00
2024-10-26,AMC Movie Theater,32.00
2024-10-28,Walgreens,19.75
2024-10-29,AT&T Mobile Bill,75.00
2024-10-30,Electric Company,95.50
2024-11-01,Safeway Groceries,102.45
2024-11-02,Lyft Ride,18.50
2024-11-03,Pizza Hut Delivery,29.99
2024-11-05,State Farm Insurance,150.00
2024-11-06,Costco Wholesale,215.75
2024-11-08,Spotify Premium,10.99
2024-11-10,Italian Restaurant,78.50
2024-11-12,Gas Station,38.75
2024-11-15,Amazon Shopping,145.20
2024-11-18,Dentist Appointment,125.00
2024-11-20,Home Depot,89.99
2024-11-22,Thanksgiving Groceries,198.50
2024-11-25,Best Buy Electronics,329.99
2024-11-28,Uber Eats,35.75
2024-11-30,Internet Bill,65.00
